epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,1424.21,1.67685,1.13254,2.0668,0.98338,0.85,0.96443,0.6183,1.29022,1.05925,2.21798,0.00141392,0.00141392,0.00141392
150,1433.49,1.33618,0.99712,1.69165,1,0.89665,0.97833,0.64651,1.24838,1.0578,2.15385,0.00140996,0.00140996,0.00140996
151,1442.63,1.31374,1.05945,1.93014,1,0.89665,0.97833,0.64651,1.24838,1.0578,2.15385,0.001406,0.001406,0.001406
152,1452.45,1.32601,1.0945,1.7369,0.81941,0.90777,0.93883,0.61015,1.27133,1.13804,2.15147,0.00140204,0.00140204,0.00140204
153,1461.56,1.17142,1.03184,1.76096,0.81941,0.90777,0.93883,0.61015,1.27133,1.13804,2.15147,0.00139808,0.00139808,0.00139808
154,1470.87,1.28094,0.95041,1.87176,0.90985,0.85,0.97618,0.60655,1.37886,1.45335,2.25536,0.00139412,0.00139412,0.00139412
155,1480.13,1.47321,1.16006,2.00042,0.90985,0.85,0.97618,0.60655,1.37886,1.45335,2.25536,0.00139016,0.00139016,0.00139016
156,1489.41,1.37027,1.08988,1.96041,0.94017,0.78631,0.94833,0.54816,1.56647,1.76856,2.45113,0.0013862,0.0013862,0.0013862
157,1498.67,1.06431,0.91163,1.54837,0.94017,0.78631,0.94833,0.54816,1.56647,1.76856,2.45113,0.00138224,0.00138224,0.00138224
158,1507.96,1.28492,1.19424,1.75619,1,0.76231,0.9432,0.48232,1.76792,1.84776,2.62579,0.00137828,0.00137828,0.00137828
159,1517.27,1.25852,1.036,1.58247,1,0.76231,0.9432,0.48232,1.76792,1.84776,2.62579,0.00137432,0.00137432,0.00137432
160,1526.65,1.18768,1.02838,1.87068,1,0.84212,0.96701,0.52367,1.69172,1.42109,2.48483,0.00137036,0.00137036,0.00137036
161,1535.88,1.3967,1.06789,1.87883,1,0.84212,0.96701,0.52367,1.69172,1.42109,2.48483,0.0013664,0.0013664,0.0013664
162,1546.38,1.48919,1.21431,1.86892,0.85737,0.95,0.97714,0.60706,1.39817,1.13816,2.18335,0.00136244,0.00136244,0.00136244
